Number,Time,Status,Duration (Seconds),Access Code,Email Address,IP Address,Country,Region,City / Town / District,Latitude,Longitude,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
1,10/3/2023 17:49,Completed,11646,,,100.36.167.226,United States,Virginia,Fairfax,-77.2891,38.8209,4.0,Female,23,63,Taiwan,economics,12/31/2021,App,not working,Some,little/none,Some,yes,yes,empty
2,10/3/2023 17:49,Completed,113,,,98.169.26.134,United States,Virginia,Fairfax,-77.263,38.8605,2.0,Female,24,59,India,Finance ,5/1/2021,App,part time,Average,Average,little/none,yes,no,empty
3,10/3/2023 17:49,Completed,572,,,98.169.52.23,United States,Virginia,Greenway Downs,-77.2331,38.9645,2.0,Male,40,70,India,Computer Applications,6/1/2022,App,full time,Some,little/none,Average,no,not sure,"As part of my work, I have access to a lot of valuable row data. I know I could use them for generating meaningful information and to take informed decisions. The goal is to use the techniques learned in these data analytics sessions to be used at work and also outside work to do some research activities."
4,10/3/2023 17:50,Completed,365,,,69.255.182.253,United States,Virginia,Gainesville,-77.6308,38.8175,2.0,Prefer not to answer,26,66,South Korea,Business Management,12/31/2021,Mic,not working,Average,Frequent,Some,no,yes,empty
5,10/3/2023 17:51,Completed,92,,,138.88.108.230,United States,,,-97.822,37.751,2.0,Male,30,70,US,Yes,1/1/2021,App,full time,Some,Some,Average,no,yes,Learn
6,10/3/2023 17:59,Incomplete,221,,,108.56.134.80,United States,Virginia,Reston,-77.3489,38.9311,2.0,Female,25,,,,,,,,,,yes,no,empty
7,10/3/2023 18:23,Completed,115983,,,108.48.175.220,United States,Virginia,Arlington,-77.0987,38.86,2.0,NonBinary,24,70,pakistan,Finance,7/15/2022,Mic,part time,Average,Average,Average,no,no,To deduce meaningful interpretation for Financial data in order to hedge against risks and provide higher returns.
8,10/3/2023 19:10,Incomplete,40,,,173.67.199.85,United States,Virginia,Ashburn,-77.539,39.018,2.0,Female,30,5.2,,,,,,,,,yes,no,empty
9,10/3/2023 19:25,Completed,137,,,74.96.114.12,United States,Virginia,Woodbridge,-77.3197,38.678,2.0,Male,24,71,china,Economic,12/15/2021,Mic,full time,Some,Frequent,Average,yes,no,empty
10,10/3/2023 19:56,Incomplete,179,,,107.77.241.32,United States,Texas,,-96.8217,32.7787,4.0,Male,26,71,Uzbekistan ,Economics with Finance ,,,,,,,no,no,empty
11,10/3/2023 20:14,Completed,127,,,138.88.182.245,United States,Maryland,Takoma Park,-77.004,38.9827,2.0,Female,24,66,USA,BIT,5/1/2022,Mic,not working,little/none,little/none,Some,no,no,To see if it is a field I am interested in pursuing as a career after graduating.
12,10/3/2023 21:38,Completed,269,,,72.83.246.60,United States,Virginia,Fairfax,-77.263,38.8605,4.0,Female,25,66,India,Computer Engineering,5/31/2021,Mic,not working,Frequent,Average,Frequent,no,yes,To learn and explore cutting edge data technologies and build applications that would be helpful for society.
13,10/3/2023 21:41,Completed,117,,,96.241.43.105,United States,Virginia,Chantilly,-77.4512,38.9036,2.0,Male,25,69,Romania,Biology,8/26/2021,App,part time,Some,Average,Average,no,yes,Learn to select the appropriate tools to conduct data analysis. 
14,10/3/2023 22:49,Completed,5966,,,71.191.72.223,United States,Virginia,Burke,-77.2866,38.7851,2.0,Female,23,66,India,Cse,12/25/2021,Mic,not working,Average,Average,Average,no,yes,empty
15,10/3/2023 23:25,Completed,254,,,73.134.53.227,United States,Maryland,Hyattsville,-76.8696,38.9544,4.0,Female,31,67,China,Management,12/31/2021,Mic,not working,Average,little/none,little/none,no,yes,improve my skills
16,10/4/2023 0:28,Completed,526,,,73.86.219.52,United States,Maryland,Baltimore,-76.6355,39.3555,4.0,Male,26,72,Uzbekistan,Economics with Finance,5/1/2022,Mic,not working,Some,Some,Some,no,yes,My professional goal is to become a Financial Data Analyst
17,10/4/2023 5:22,Completed,398,,,69.138.215.127,United States,Virginia,Arlington,-77.113,38.8747,2.0,Male,40,68,USA,Economics,5/31/2022,MicApp,full time,Average,Some,Some,no,yes,able to compliment my Computational Social Science degree. 
18,10/4/2023 5:36,Completed,128253,,,72.196.231.70,United States,Virginia,Springfield,-77.2333,38.7438,2.0,Male,2 3,60,India ,Engineering ,1/12/2021,Mic,not working,Frequent,Frequent,Average,no,yes,To start a company 
19,10/4/2023 5:47,Completed,239,,,100.15.54.17,United States,Virginia,Woodbridge,-77.3197,38.678,4.0,Male,25,67,Ethiopia,Accounting and ISOM,12/20/2021,Mic,not working,little/none,little/none,Average,no,yes,To be able understand and manipulate data to make informed and better decisions.
20,10/4/2023 10:32,Completed,255,,,184.170.83.239,United States,Virginia,Rustburg,-79.0985,37.2544,4.0,Female,22,67,United States,Statistics,12/20/2021,App,part time,Some,Fluent,Average,no,not sure,My ultimate goal is to get a job as a sports analyst- this is a much needed step to grow my skills in order to land a job and be good at what I do.  
21,10/4/2023 11:03,Completed,256,,,100.36.243.102,United States,Virginia,Fairfax,-77.3375,38.8357,4.0,Male,23,74,United States ,Computer Science ,5/1/2022,Mic,full time,Some,Some,Some,no,not sure,To understand how to properly interpret and display data  
22,10/4/2023 12:34,Completed,674,,,108.56.134.80,United States,Virginia,Reston,-77.3489,38.9311,2.0,Female,25,65,India,Computer science ,4/16/2022,Mic,not working,Some,little/none,Average,no,not sure,"After graduating data analytics, I want myself to be good in analyzing real problems,predictions etc"
23,10/4/2023 13:36,Completed,130,,,73.163.163.82,United States,Maryland,Baltimore,-76.557,39.2784,4.0,Female,22,67,USA,Mathematics & Statistics,12/18/2021,MicApp,part time,Some,Frequent,little/none,yes,not sure,Learning how to appropriately handle large quantities of data
24,10/4/2023 13:50,Completed,275,,,138.88.223.87,United States,,,-97.822,37.751,4.0,Male,23,75,Nigeria ,Economics,5/14/2021,Mic,not working,little/none,little/none,little/none,yes,not sure,To learn and understand the fundamentals and methodology for analyzing large datasets and creating models that help analyze data efficiently.
25,10/4/2023 21:28,Completed,325,,,100.36.50.114,United States,,,-97.822,37.751,4.0,Female,27,67,USA,Systems Engineering,12/19/2022,Mic,full time,Average,Average,Average,yes,not sure,The goal is to learn as many programming/statistical tools I can.  
26,10/5/2023 9:37,Completed,257,,,108.51.59.195,United States,Virginia,Burke,-77.2866,38.7851,2.0,Male,28,68,Taiwan,Civil engineering,5/30/2021,Mic,full time,Average,Some,Some,no,not sure,Learning analytics tool and being good at them
27,10/5/2023 9:36,Completed,657,,,72.83.246.219,United States,Virginia,Fairfax,-77.263,38.8605,2.0,Male,23,72,India,ECE,12/11/2021,App,not working,Average,Frequent,Average,no,yes,I want to be as a data analyst 
28,10/5/2023 10:36,Completed,1750,,,100.36.118.186,United States,Virginia,Burke,-77.2866,38.7851,4.0,Male,35,6l,Nigeria,Quantity Surveying,5/24/2023,Mic,not working,Average,Frequent,Average,yes,yes,It is very relevant to my PhD research area and I love it.
29,10/5/2023 11:02,Completed,887,,,172.58.187.98,United States,Maryland,Baltimore,-76.6949,39.282,4.0,Female,27,64,India,Bachelor of Engineering,12/30/2021,Mic,not working,Average,Average,Average,yes,yes,"Learn how to handle large amount structured and unstructured data, machine learning algorithms, data visualization techniques and deployment process in real time. "
30,10/5/2023 11:17,Completed,180,,,72.196.230.201,United States,Virginia,Springfield,-77.2333,38.7438,2.0,Male,25,71,India,B.Tech in CS,12/15/2021,App,not working,Average,Average,Frequent,yes,yes,To become a good Data Analyst and work for top it companies.
31,10/5/2023 12:52,Completed,392,,,108.18.111.204,United States,Virginia,Lorton,-77.206,38.6911,4.0,Female,55,56,United States,BS accounting,5/1/2021,Mic,full time,little/none,Some,Some,yes,yes,Get a better understanding of the granularity behind data and the lyricsLearn tools and techniques in data analytics to refresh my skills 
32,10/5/2023 12:56,Incomplete,192,,,71.191.72.223,United States,Virginia,Burke,-77.2866,38.7851,2.0,Female,23,70,India,Bachelor of engineering,12/21/2021,MicApp,not working,Average,Frequent,Frequent,no,yes,empty
33,10/5/2023 13:52,Completed,277,,,184.191.72.8,United States,Virginia,Falls Church,-77.1425,38.8472,2.0,Male,1993,7O,United States ; Pakistan ,Criminology Law and Soci,12/18/2021,Mic,full time,Average,Some,Some,no,no,Learn how data analytics works
34,10/5/2023 15:34,Completed,119,,,141.156.160.243,United States,,,-97.822,37.751,4.0,Male,23,73,USA,Economics,5/15/2022,Mic,full time,Average,Average,Average,no,no,Advance my career in data science
35,10/5/2023 15:41,Completed,149,,,71.206.51.121,United States,Maryland,Frederick,-77.2758,39.4624,2.0,Male,24,68,Vietnam,Finance,12/12/2022,Mic,not working,Some,Some,Some,no,not sure,Getting a good job
36,10/5/2023 17:58,Completed,285,,,129.174.252.234,United States,Virginia,Fairfax,-77.3375,38.8357,4.0,Female,28,66,Uzbekistan,Psychology,12/20/2021,OthAcer/Windows,full time,Some,little/none,little/none,no,not sure,to use the skills at work.
