GRE_Score,TOEFL_Score,University_Rating, SOP,LOR ,CGPA,Research,Admit
337,118,4,4.5,4.5,9.65,YES,YES
324,107,4,4,4.5,8.87,YES,YES
316,104,3,3,3.5,8,YES,YES
322,110,3,3.5,2.5,8.67,YES,YES
314,103,2,2,3,8.21,NO,YES
330,115,5,4.5,3,9.34,YES,YES
321,109,3,3,4,8.2,YES,YES
308,101,2,3,4,7.9,NO,YES
302,102,1,2,1.5,8,NO,NO
323,108,3,3.5,3,8.6,NO,NO
325,106,3,3.5,4,8.4,YES,YES
327,111,4,4,4.5,9,YES,YES
328,112,4,4,4.5,9.1,YES,YES
307,109,3,4,3,8,YES,YES
311,104,3,3.5,2,8.2,YES,YES
314,105,3,3.5,2.5,8.3,NO,YES
317,107,3,4,3,8.7,NO,YES
319,106,3,4,3,8,YES,YES
318,110,3,4,3,8.8,NO,YES
303,102,3,3.5,3,8.5,NO,YES
312,107,3,3,2,7.9,YES,YES
325,114,4,3,2,8.4,NO,YES
328,116,5,5,5,9.5,YES,YES
334,119,5,5,4.5,9.7,YES,YES
336,119,5,4,3.5,9.8,YES,YES
340,120,5,4.5,4.5,9.6,YES,YES
322,109,5,4.5,3.5,8.8,NO,YES
298,98,2,1.5,2.5,7.5,YES,NO
295,93,1,2,2,7.2,NO,NO
310,99,2,1.5,2,7.3,NO,YES
300,97,2,3,3,8.1,YES,YES
327,103,3,4,4,8.3,YES,YES
338,118,4,3,4.5,9.4,YES,YES
340,114,5,4,4,9.6,YES,YES
331,112,5,4,5,9.8,YES,YES
320,110,5,5,5,9.2,YES,YES
299,106,2,4,4,8.4,NO,YES
300,105,1,1,2,7.8,NO,YES
304,105,1,3,1.5,7.5,NO,YES
307,108,2,4,3.5,7.7,NO,NO
308,110,3,3.5,3,8,YES,NO
316,105,2,2.5,2.5,8.2,YES,NO
313,107,2,2.5,2,8.5,YES,YES
332,117,4,4.5,4,9.1,NO,YES
326,113,5,4.5,4,9.4,YES,YES
322,110,5,5,4,9.1,YES,YES
329,114,5,4,5,9.3,YES,YES
339,119,5,4.5,4,9.7,NO,YES
321,110,3,3.5,5,8.85,YES,YES
327,111,4,3,4,8.4,YES,YES
313,98,3,2.5,4.5,8.3,YES,YES
312,100,2,1.5,3.5,7.9,YES,YES
334,116,4,4,3,8,YES,YES
324,112,4,4,2.5,8.1,YES,YES
322,110,3,3,3.5,8,NO,YES
320,103,3,3,3,7.7,NO,YES
316,102,3,2,3,7.4,NO,YES
298,99,2,4,2,7.6,NO,NO
300,99,1,3,2,6.8,YES,NO
311,104,2,2,2,8.3,NO,NO
309,100,2,3,3,8.1,NO,NO
307,101,3,4,3,8.2,NO,NO
304,105,2,3,3,8.2,YES,YES
315,107,2,4,3,8.5,YES,YES
325,111,3,3,3.5,8.7,NO,YES
325,112,4,3.5,3.5,8.92,NO,YES
327,114,3,3,3,9.02,NO,YES
316,107,2,3.5,3.5,8.64,YES,YES
318,109,3,3.5,4,9.22,YES,YES
328,115,4,4.5,4,9.16,YES,YES
332,118,5,5,5,9.64,YES,YES
336,112,5,5,5,9.76,YES,YES
321,111,5,5,5,9.45,YES,YES
314,108,4,4.5,4,9.04,YES,YES
314,106,3,3,5,8.9,NO,YES
329,114,2,2,4,8.56,YES,YES
327,112,3,3,3,8.72,YES,YES
301,99,2,3,2,8.22,NO,YES
296,95,2,3,2,7.54,YES,NO
294,93,1,1.5,2,7.36,NO,NO
312,105,3,2,3,8.02,YES,NO
340,120,4,5,5,9.5,YES,YES
320,110,5,5,4.5,9.22,YES,YES
322,115,5,4,4.5,9.36,YES,YES
340,115,5,4.5,4.5,9.45,YES,YES
319,103,4,4.5,3.5,8.66,NO,YES
315,106,3,4.5,3.5,8.42,NO,YES
317,107,2,3.5,3,8.28,NO,YES
314,108,3,4.5,3.5,8.14,NO,YES
316,109,4,4.5,3.5,8.76,YES,YES
318,106,2,4,4,7.92,YES,YES
299,97,3,5,3.5,7.66,NO,NO
298,98,2,4,3,8.03,NO,NO
301,97,2,3,3,7.88,YES,NO
303,99,3,2,2.5,7.66,NO,NO
304,100,4,1.5,2.5,7.84,NO,NO
306,100,2,3,3,8,NO,NO
331,120,3,4,4,8.96,YES,YES
332,119,4,5,4.5,9.24,YES,YES
323,113,3,4,4,8.88,YES,YES
322,107,3,3.5,3.5,8.46,YES,YES
312,105,2,2.5,3,8.12,NO,YES
314,106,2,4,3.5,8.25,NO,YES
317,104,2,4.5,4,8.47,NO,YES
326,112,3,3.5,3,9.05,YES,YES
316,110,3,4,4.5,8.78,YES,YES
329,111,4,4.5,4.5,9.18,YES,YES
338,117,4,3.5,4.5,9.46,YES,YES
331,116,5,5,5,9.38,YES,YES
304,103,5,5,4,8.64,NO,YES
305,108,5,3,3,8.48,NO,YES
321,109,4,4,4,8.68,YES,YES
301,107,3,3.5,3.5,8.34,YES,YES
320,110,2,4,3.5,8.56,NO,YES
311,105,3,3.5,3,8.45,YES,YES
310,106,4,4.5,4.5,9.04,YES,YES
299,102,3,4,3.5,8.62,NO,YES
290,104,4,2,2.5,7.46,NO,NO
296,99,2,3,3.5,7.28,NO,NO
327,104,5,3,3.5,8.84,YES,YES
335,117,5,5,5,9.56,YES,YES
334,119,5,4.5,4.5,9.48,YES,YES
310,106,4,1.5,2.5,8.36,NO,YES
308,108,3,3.5,3.5,8.22,NO,YES
301,106,4,2.5,3,8.47,NO,YES
300,100,3,2,3,8.66,YES,YES
323,113,3,4,3,9.32,YES,YES
319,112,3,2.5,2,8.71,YES,YES
326,112,3,3.5,3,9.1,YES,YES
333,118,5,5,5,9.35,YES,YES
339,114,5,4,4.5,9.76,YES,YES
303,105,5,5,4.5,8.65,NO,YES
309,105,5,3.5,3.5,8.56,NO,YES
323,112,5,4,4.5,8.78,NO,YES
333,113,5,4,4,9.28,YES,YES
314,109,4,3.5,4,8.77,YES,YES
312,103,3,5,4,8.45,NO,YES
316,100,2,1.5,3,8.16,YES,YES
326,116,2,4.5,3,9.08,YES,YES
318,109,1,3.5,3.5,9.12,NO,YES
329,110,2,4,3,9.15,YES,YES
332,118,2,4.5,3.5,9.36,YES,YES
331,115,5,4,3.5,9.44,YES,YES
340,120,4,4.5,4,9.92,YES,YES
325,112,2,3,3.5,8.96,YES,YES
320,113,2,2,2.5,8.64,YES,YES
315,105,3,2,2.5,8.48,NO,YES
326,114,3,3,3,9.11,YES,YES
339,116,4,4,3.5,9.8,YES,YES
311,106,2,3.5,3,8.26,YES,YES
334,114,4,4,4,9.43,YES,YES
332,116,5,5,5,9.28,YES,YES
321,112,5,5,5,9.06,YES,YES
324,105,3,3,4,8.75,NO,YES
326,108,3,3,3.5,8.89,NO,YES
312,109,3,3,3,8.69,NO,YES
315,105,3,2,2.5,8.34,NO,YES
309,104,2,2,2.5,8.26,NO,YES
306,106,2,2,2.5,8.14,NO,YES
297,100,1,1.5,2,7.9,NO,YES
315,103,1,1.5,2,7.86,NO,YES
298,99,1,1.5,3,7.46,NO,YES
318,109,3,3,3,8.5,NO,YES
317,105,3,3.5,3,8.56,NO,YES
329,111,4,4.5,4,9.01,YES,YES
322,110,5,4.5,4,8.97,NO,YES
302,102,3,3.5,5,8.33,NO,YES
313,102,3,2,3,8.27,NO,YES
293,97,2,2,4,7.8,YES,YES
311,99,2,2.5,3,7.98,NO,YES
312,101,2,2.5,3.5,8.04,YES,YES
334,117,5,4,4.5,9.07,YES,YES
322,110,4,4,5,9.13,YES,YES
323,113,4,4,4.5,9.23,YES,YES
321,111,4,4,4,8.97,YES,YES
320,111,4,4.5,3.5,8.87,YES,YES
329,119,4,4.5,4.5,9.16,YES,YES
319,110,3,3.5,3.5,9.04,NO,YES
309,108,3,2.5,3,8.12,NO,YES
307,102,3,3,3,8.27,NO,YES
300,104,3,3.5,3,8.16,NO,YES
305,107,2,2.5,2.5,8.42,NO,YES
299,100,2,3,3.5,7.88,NO,YES
314,110,3,4,4,8.8,NO,YES
316,106,2,2.5,4,8.32,NO,YES
327,113,4,4.5,4.5,9.11,YES,YES
317,107,3,3.5,3,8.68,YES,YES
335,118,5,4.5,3.5,9.44,YES,YES
331,115,5,4.5,3.5,9.36,YES,YES
324,112,5,5,5,9.08,YES,YES
324,111,5,4.5,4,9.16,YES,YES
323,110,5,4,5,8.98,YES,YES
322,114,5,4.5,4,8.94,YES,YES
336,118,5,4.5,5,9.53,YES,YES
316,109,3,3.5,3,8.76,NO,YES
307,107,2,3,3.5,8.52,YES,YES
306,105,2,3,2.5,8.26,NO,YES
310,106,2,3.5,2.5,8.33,NO,YES
311,104,3,4.5,4.5,8.43,NO,YES
313,107,3,4,4.5,8.69,NO,YES
317,103,3,2.5,3,8.54,YES,YES
315,110,2,3.5,3,8.46,YES,YES
340,120,5,4.5,4.5,9.91,YES,YES
334,120,5,4,5,9.87,YES,YES
298,105,3,3.5,4,8.54,NO,YES
295,99,2,2.5,3,7.65,NO,YES
315,99,2,3.5,3,7.89,NO,YES
310,102,3,3.5,4,8.02,YES,YES
305,106,2,3,3,8.16,NO,YES
301,104,3,3.5,4,8.12,YES,YES
325,108,4,4.5,4,9.06,YES,YES
328,110,4,5,4,9.14,YES,YES
338,120,4,5,5,9.66,YES,YES
333,119,5,5,4.5,9.78,YES,YES
331,117,4,4.5,5,9.42,YES,YES
330,116,5,5,4.5,9.36,YES,YES
322,112,4,4.5,4.5,9.26,YES,YES
321,109,4,4,4,9.13,YES,YES
324,110,4,3,3.5,8.97,YES,YES
312,104,3,3.5,3.5,8.42,NO,YES
313,103,3,4,4,8.75,NO,YES
316,110,3,3.5,4,8.56,NO,YES
324,113,4,4.5,4,8.79,NO,YES
308,109,2,3,4,8.45,NO,YES
305,105,2,3,2,8.23,NO,YES
296,99,2,2.5,2.5,8.03,NO,YES
306,110,2,3.5,4,8.45,NO,YES
312,110,2,3.5,3,8.53,NO,YES
318,112,3,4,3.5,8.67,NO,YES
324,111,4,3,3,9.01,YES,YES
313,104,3,4,4.5,8.65,NO,YES
319,106,3,3.5,2.5,8.33,YES,YES
312,107,2,2.5,3.5,8.27,NO,YES
304,100,2,2.5,3.5,8.07,NO,YES
330,113,5,5,4,9.31,YES,YES
326,111,5,4.5,4,9.23,YES,YES
325,112,4,4,4.5,9.17,YES,YES
329,114,5,4.5,5,9.19,YES,YES
310,104,3,2,3.5,8.37,NO,YES
299,100,1,1.5,2,7.89,NO,YES
296,101,1,2.5,3,7.68,NO,YES
317,103,2,2.5,2,8.15,NO,YES
324,115,3,3.5,3,8.76,YES,YES
325,114,3,3.5,3,9.04,YES,YES
314,107,2,2.5,4,8.56,NO,YES
328,110,4,4,2.5,9.02,YES,YES
316,105,3,3,3.5,8.73,NO,YES
311,104,2,2.5,3.5,8.48,NO,YES
324,110,3,3.5,4,8.87,YES,YES
321,111,3,3.5,4,8.83,YES,YES
320,104,3,3,2.5,8.57,YES,YES
316,99,2,2.5,3,9,NO,YES
318,100,2,2.5,3.5,8.54,YES,YES
335,115,4,4.5,4.5,9.68,YES,YES
321,114,4,4,5,9.12,NO,YES
307,110,4,4,4.5,8.37,NO,YES
309,99,3,4,4,8.56,NO,YES
324,100,3,4,5,8.64,YES,YES
326,102,4,5,5,8.76,YES,YES
331,119,4,5,4.5,9.34,YES,YES
327,108,5,5,3.5,9.13,YES,YES
312,104,3,3.5,4,8.09,NO,YES
308,103,2,2.5,4,8.36,YES,YES
324,111,3,2.5,1.5,8.79,YES,YES
325,110,2,3,2.5,8.76,YES,YES
313,102,3,2.5,2.5,8.68,NO,YES
312,105,2,2,2.5,8.45,NO,YES
314,107,3,3,3.5,8.17,YES,YES
327,113,4,4.5,5,9.14,NO,YES
308,108,4,4.5,5,8.34,NO,YES
306,105,2,2.5,3,8.22,YES,YES
299,96,2,1.5,2,7.86,NO,YES
294,95,1,1.5,1.5,7.64,NO,NO
312,99,1,1,1.5,8.01,YES,YES
315,100,1,2,2.5,7.95,NO,YES
322,110,3,3.5,3,8.96,YES,YES
329,113,5,5,4.5,9.45,YES,YES
320,101,2,2.5,3,8.62,NO,YES
308,103,2,3,3.5,8.49,NO,YES
304,102,2,3,4,8.73,NO,YES
311,102,3,4.5,4,8.64,YES,YES
317,110,3,4,4.5,9.11,YES,YES
312,106,3,4,3.5,8.79,YES,YES
321,111,3,2.5,3,8.9,YES,YES
340,112,4,5,4.5,9.66,YES,YES
331,116,5,4,4,9.26,YES,YES
336,118,5,4.5,4,9.19,YES,YES
324,114,5,5,4.5,9.08,YES,YES
314,104,4,5,5,9.02,NO,YES
313,109,3,4,3.5,9,NO,YES
307,105,2,2.5,3,7.65,NO,YES
300,102,2,1.5,2,7.87,NO,YES
302,99,2,1,2,7.97,NO,YES
312,98,1,3.5,3,8.18,YES,YES
316,101,2,2.5,2,8.32,YES,YES
317,100,2,3,2.5,8.57,NO,YES
310,107,3,3.5,3.5,8.67,NO,YES
320,120,3,4,4.5,9.11,NO,YES
330,114,3,4.5,4.5,9.24,YES,YES
305,112,3,3,3.5,8.65,NO,YES
309,106,2,2.5,2.5,8,NO,YES
319,108,2,2.5,3,8.76,NO,YES
322,105,2,3,3,8.45,YES,YES
323,107,3,3.5,3.5,8.55,YES,YES
313,106,2,2.5,2,8.43,NO,YES
321,109,3,3.5,3.5,8.8,YES,YES
323,110,3,4,3.5,9.1,YES,YES
325,112,4,4,4,9,YES,YES
312,108,3,3.5,3,8.53,NO,YES
308,110,4,3.5,3,8.6,NO,YES
320,104,3,3,3.5,8.74,YES,YES
328,108,4,4.5,4,9.18,YES,YES
311,107,4,4.5,4.5,9,YES,YES
301,100,3,3.5,3,8.04,NO,YES
305,105,2,3,4,8.13,NO,YES
308,104,2,2.5,3,8.07,NO,YES
298,101,2,1.5,2,7.86,NO,YES
300,99,1,1,2.5,8.01,NO,YES
324,111,3,2.5,2,8.8,YES,YES
327,113,4,3.5,3,8.69,YES,YES
317,106,3,4,3.5,8.5,YES,YES
323,104,3,4,4,8.44,YES,YES
314,107,2,2.5,4,8.27,NO,YES
305,102,2,2,2.5,8.18,NO,YES
315,104,3,3,2.5,8.33,NO,YES
326,116,3,3.5,4,9.14,YES,YES
299,100,3,2,2,8.02,NO,YES
295,101,2,2.5,2,7.86,NO,YES
324,112,4,4,3.5,8.77,YES,YES
297,96,2,2.5,1.5,7.89,NO,NO
327,113,3,3.5,3,8.66,YES,YES
311,105,2,3,2,8.12,YES,YES
308,106,3,3.5,2.5,8.21,YES,YES
319,108,3,3,3.5,8.54,YES,YES
312,107,4,4.5,4,8.65,YES,YES
325,111,4,4,4.5,9.11,YES,YES
319,110,3,3,2.5,8.79,NO,YES
332,118,5,5,5,9.47,YES,YES
323,108,5,4,4,8.74,YES,YES
324,107,5,3.5,4,8.66,YES,YES
312,107,3,3,3,8.46,YES,YES
326,110,3,3.5,3.5,8.76,YES,YES
308,106,3,3,3,8.24,NO,YES
305,103,2,2.5,3.5,8.13,NO,YES
295,96,2,1.5,2,7.34,NO,NO
316,98,1,1.5,2,7.43,NO,NO
304,97,2,1.5,2,7.64,NO,NO
299,94,1,1,1,7.34,NO,NO
302,99,1,2,2,7.25,NO,YES
313,101,3,2.5,3,8.04,NO,YES
318,107,3,3,3.5,8.27,YES,YES
325,110,4,3.5,4,8.67,YES,YES
303,100,2,3,3.5,8.06,YES,YES
300,102,3,3.5,2.5,8.17,NO,YES
297,98,2,2.5,3,7.67,NO,YES
317,106,2,2,3.5,8.12,NO,YES
327,109,3,3.5,4,8.77,YES,YES
301,104,2,3.5,3.5,7.89,YES,YES
314,105,2,2.5,2,7.64,NO,YES
321,107,2,2,1.5,8.44,NO,YES
322,110,3,4,5,8.64,YES,YES
334,116,4,4,3.5,9.54,YES,YES
338,115,5,4.5,5,9.23,YES,YES
306,103,2,2.5,3,8.36,NO,YES
313,102,3,3.5,4,8.9,YES,YES
330,114,4,4.5,3,9.17,YES,YES
320,104,3,3.5,4.5,8.34,YES,YES
311,98,1,1,2.5,7.46,NO,YES
298,92,1,2,2,7.88,NO,YES
301,98,1,2,3,8.03,YES,YES
310,103,2,2.5,2.5,8.24,NO,YES
324,110,3,3.5,3,9.22,YES,YES
336,119,4,4.5,4,9.62,YES,YES
321,109,3,3,3,8.54,YES,YES
315,105,2,2,2.5,7.65,NO,NO
304,101,2,2,2.5,7.66,NO,NO
297,96,2,2.5,2,7.43,NO,NO
290,100,1,1.5,2,7.56,NO,NO
303,98,1,2,2.5,7.65,NO,YES
311,99,1,2.5,3,8.43,YES,YES
322,104,3,3.5,4,8.84,YES,YES
319,105,3,3,3.5,8.67,YES,YES
324,110,4,4.5,4,9.15,YES,YES
300,100,3,3,3.5,8.26,NO,YES
340,113,4,5,5,9.74,YES,YES
335,117,5,5,5,9.82,YES,YES
302,101,2,2.5,3.5,7.96,NO,NO
307,105,2,2,3.5,8.1,NO,YES
296,97,2,1.5,2,7.8,NO,NO
320,108,3,3.5,4,8.44,YES,YES
314,102,2,2,2.5,8.24,NO,YES
318,106,3,2,3,8.65,NO,YES
326,112,4,4,3.5,9.12,YES,YES
317,104,2,3,3,8.76,NO,YES
329,111,4,4.5,4,9.23,YES,YES
324,110,3,3.5,3.5,9.04,YES,YES
325,107,3,3,3.5,9.11,YES,YES
330,116,4,5,4.5,9.45,YES,YES
312,103,3,3.5,4,8.78,NO,YES
333,117,4,5,4,9.66,YES,YES
